Sample	Sample_ID_Full	Join_ID	sample.title	UMAP1	UMAP2
GSM2403023_6929718020_R01C02.tsv	GSM2403023_6929718020_R01C02	GSM2403023	MB, G4	-5.91891309543478	-14.9311802837078
GSM2403024_6929718020_R02C02.tsv	GSM2403024_6929718020_R02C02	GSM2403024	MB, G4	-5.18359014316427	-14.9712527248089
GSM2403025_6929718001_R06C02.tsv	GSM2403025_6929718001_R06C02	GSM2403025	MB, G4	-5.39709255023825	-14.8199265453045
GSM2403026_6929718049_R06C01.tsv	GSM2403026_6929718049_R06C01	GSM2403026	ATRT, SHH	13.8299687214292	5.1549188640888
GSM2403027_6929718049_R03C01.tsv	GSM2403027_6929718049_R03C01	GSM2403027	ATRT, SHH	13.7454445667661	5.22242327006415
GSM2403028_6929718049_R01C01.tsv	GSM2403028_6929718049_R01C01	GSM2403028	ETMR	-13.8490168742739	-7.07410411564753
GSM2403029_6929793058_R06C02.tsv	GSM2403029_6929793058_R06C02	GSM2403029	LGG, PA PF	-1.54647228046286	3.32615871699408
GSM2403030_6929793058_R03C02.tsv	GSM2403030_6929793058_R03C02	GSM2403030	LGG, PA MID	3.30181911663187	7.14116592677191
GSM2403031_6929793058_R05C02.tsv	GSM2403031_6929793058_R05C02	GSM2403031	LGG, PA PF	-1.44084164424765	3.16704769404486
GSM2403032_6929793089_R03C02.tsv	GSM2403032_6929793089_R03C02	GSM2403032	MB, G4	-6.58887407108175	-14.4933789226238
GSM2403033_6929793089_R04C02.tsv	GSM2403033_6929793089_R04C02	GSM2403033	MB, G4	-6.61676856799948	-14.5455573054974
GSM2403034_6929793061_R01C02.tsv	GSM2403034_6929793061_R01C02	GSM2403034	MB, SHH INF	0.210581899443987	-13.5591786357586
GSM2403035_6929793061_R02C02.tsv	GSM2403035_6929793061_R02C02	GSM2403035	MB, SHH CHL AD	0.645233602086428	-12.7668221446697
GSM2403036_6929793061_R06C01.tsv	GSM2403036_6929793061_R06C01	GSM2403036	MB, SHH CHL AD	0.389895410100344	-13.2635634395306
GSM2403037_6929793061_R03C02.tsv	GSM2403037_6929793061_R03C02	GSM2403037	MB, SHH INF	0.167162657538775	-13.4849436732952
GSM2403038_6929793052_R06C02.tsv	GSM2403038_6929793052_R06C02	GSM2403038	MB, G4	-5.07760927005636	-14.2718165370648
GSM2403039_6929793061_R01C01.tsv	GSM2403039_6929793061_R01C01	GSM2403039	MB, G3	-8.01126643939841	-14.2303641292278
GSM2403040_6929793061_R02C01.tsv	GSM2403040_6929793061_R02C01	GSM2403040	MB, G3	-7.62951394840109	-14.6240332576458
GSM2403041_6929793061_R03C01.tsv	GSM2403041_6929793061_R03C01	GSM2403041	MB, G4	-6.17542526050436	-14.0916226360028
GSM2403042_6929793052_R02C02.tsv	GSM2403042_6929793052_R02C02	GSM2403042	MB, G4	-5.85839435382712	-14.6926873180096
GSM2403043_6929793061_R04C01.tsv	GSM2403043_6929793061_R04C01	GSM2403043	MB, SHH CHL AD	0.229672134677294	-13.4292948695843
GSM2403044_6929793061_R05C01.tsv	GSM2403044_6929793061_R05C01	GSM2403044	MB, G4	-6.21289321704733	-14.2250473949139
GSM2403045_6929793052_R03C02.tsv	GSM2403045_6929793052_R03C02	GSM2403045	MB, G3	-6.85153457446921	-13.9774773570721
